title,rating,status,type,chapter,release
Death Is the Only Ending for the Villainess,9.4,Ongoing,Manhwa,148,"October 18, 2020"
The Frenzy Of Evolution,9.00,Dropped,Manhua,40,"November 20, 2021"
Maxed Out Leveling,9.8,Ongoing,Manhwa,62,"November 30, 2021"
The Tutorial Tower of the Advanced Player,8.9,Dropped,Manhwa,177,"February 2, 2021"
Standard of Reincarnation,9.8,Ongoing,Manhwa,98 - [S2 END],"August 10, 2022"
The King Of Bugs,8.9,Dropped,Manhua,57,"March 6, 2021"
Regressor of the Fallen family,9.5,Ongoing,Manhwa,30,"January 5, 2024"
Boundless Necromancer,9.8,Ongoing,Manhwa,86,"December 17, 2022"
The Hero Returns,9.9,Ongoing,Manhwa,78,"March 3, 2022"
The Immortal Emperor Luo Wuji Has Returned,8.4,Dropped,Manhua,130,"January 24, 2021"
Reincarnated Escort Warrior,9.7,Ongoing,Manhwa,69,"July 28, 2022"
Helmut: The Forsaken Child,9.8,Ongoing,Manhwa,69,"August 30, 2022"
Return of the Disaster-Class Hero,9.9,Ongoing,Manhwa,74,"October 23, 2021"
The Lord’s Coins Aren’t Decreasing?!,9.7,Ongoing,Manhwa,118,"April 30, 2021"
Why I Quit Being the Demon King,9.2,Dropped,Manhwa,22 - Holy Death Note.,"January 28, 2024"
Steel-Eating Player,9.5,Ongoing,Manhwa,41,"August 29, 2023"
The Max-Level Player’s 100th Regression,9.7,Ongoing,Manhwa,41 - {S1 End},"October 31, 2023"
Chronicles of the Demon Faction,9.6,Ongoing,Manhwa,70,"March 24, 2023"
The Game That I Came From,8,Dropped,Manhua,224,"March 29, 2021"
Worthless Regression,9.7,Ongoing,Manhwa,62 - S1 End,"March 27, 2022"
Demon in Mount Hua,9.5,Dropped,Manhwa,30,"July 29, 2022"
The Executioner,9.6,Ongoing,Manhwa,13,"May 15, 2024"
My School Life Pretending To Be a Worthless Person,9.8,Ongoing,Manhwa,62,"August 16, 2022"
My Civil Servant Life Reborn in the Strange World,9.0,Dropped,Manhwa,47.5 Drop Notice,"February 27, 2022"
Drug Devourer,9.5,Dropped,Manhwa,26.5 Drop Notice,"October 8, 2022"
Regressing with the King’s Power,9.7,Ongoing,Manhwa,36,"November 3, 2023"
How To Live As a Villain,9.8,Dropped,Manhwa,112,"November 12, 2021"
The Priest of Corruption,9.7,Ongoing,Manhwa,50- [PAUSED],"June 23, 2023"
The Crown Prince That Sells Medicine,9.9,Ongoing,Manhwa,29,"December 4, 2023"
Rise From The Rubble,9.3,Dropped,Manhua,157.5 Drop Notice,"April 22, 2021"
Killer Pietro,9.8,Ongoing,Manhwa,41,"September 16, 2023"
World’s Strongest Troll,9.4,Dropped,Manhwa,49,"October 26, 2022"
Taming Master,9,Dropped,Manhwa,127,"November 2, 2020"
The Strongest Player,9.5,Dropped,Manhua,26,"November 27, 2021"
Reincarnation of the Suicidal Battle God,10,Hiatus,Manhwa,101.5,"June 26, 2021"
Demon Lord’s Martial Arts Ascension,9.7,Dropped,Manhwa,70,"November 18, 2022"
Dr. Player,9.7,Ongoing,Manhwa,65 {Season 1},"December 2, 2022"
The Book of Lagier,8.8,Dropped,Manhwa,65.5 Drop Notice,"July 14, 2021"
I’ve Become the Villainous Empress of a Novel,8.5,Dropped,Manhwa,37,"September 16, 2020"
Heavenly Grand Archive’s Young Master,9.6,Ongoing,Manhwa,77,"January 14, 2023"
Solo Max-Level Newbie,9.9,Ongoing,Manhwa,155 - The Burden of the name “Reinhardt” (4),"July 29, 2021"
The Knight King Who Returned with a God,9.8,Ongoing,Manhwa,61,"May 22, 2023"
Regressor Instruction Manual,10,Ongoing,Manhwa,88 (S2 End),"October 23, 2021"
Above the Heavens,9.0,Dropped,Manhua,16,"September 30, 2021"
The Time of the Terminally ill Extra,8,Dropped,Manhwa,66,"November 20, 2021"
The Greatest Estate Developer,9.9,Ongoing,Manhwa,142,"September 29, 2022"
I Became a Renowned Family’s Sword Prodigy,8.8,Ongoing,Manhwa,114,"June 23, 2022"
Dangerous Dungeon Escape,9.7,Dropped,Manhwa,15.5 Drop Notice,"February 12, 2023"
Reincarnation Of The Strongest Sword God,7.5,Dropped,Manhua,75,"August 27, 2022"
The Newbie is Too Strong,9.5,Ongoing,Manhwa,97,"June 17, 2022"
Golden Mage,6,Dropped,Manhwa,34,"July 18, 2023"
The Challenger,9,Dropped,Manhwa,53,"September 16, 2021"
Max Level Returner,10,Dropped,Manhwa,117,"October 20, 2020"
The Regressed Son of a Duke is an Assassin,9.8,Ongoing,Manhwa,24 - Conference (1),"February 25, 2024"
SSS-Class Suicide Hunter,9.9,Ongoing,Manhwa,115 - {S3 END},"December 31, 2020"
Legendary Ranker’s Comeback,9,Dropped,Manhwa,37,"April 5, 2023"
Regressor’s Life After Retirement,9.1,Dropped,Manhwa,"7 - I told you I’m eating all of it, okay?","September 8, 2023"
Legend of Asura – The Venom Dragon,9.4,Ongoing,Manhwa,133 { S2 END },"February 28, 2021"
Necromancer’s Evolutionary Traits,9.6,Ongoing,Manga,50,"July 1, 2023"
King of the Mound,9.2,Dropped,Manhwa,43.5 Drop Notice,"July 27, 2022"
Shenwu Tianzun,7.6,Dropped,Manhua,215,"October 15, 2020"
Rise of The Cheat User,8.5,Dropped,Manhua,21.5 Drop Notice,"October 4, 2022"
Hoarding in Hell,9.5,Ongoing,Manhwa,60 {END},"December 28, 2021"
The Main Characters That Only I Know,9.7,Ongoing,Manhwa,28,"March 26, 2024"
"Mr Devourer, Please Act Like a Final Boss",9.8,Ongoing,Manhwa,43,"December 31, 2023"
Return of the Bloodthirsty Police,9.5,Dropped,Manhwa,48,"September 16, 2023"
Wandering Warrior of Wudang,9.8,Ongoing,Manhwa,118 - S3 END,"September 8, 2021"
Swordmaster’s Youngest Son,9.9,Ongoing,Manhwa,113,"April 30, 2022"
Trash of the Count’s Family,10,Ongoing,Manhwa,129,"April 22, 2022"
I Regressed to My Ruined Family,9.6,Ongoing,Manhwa,89 {END},"November 21, 2022"
Chronicles Of The Martial God’s Return,9.6,Ongoing,Manhwa,85 - S2 End -,"May 31, 2022"
Return of the 8th Class Magician,9.9,Completed,Manhwa,81 {END} {Series Completed},"July 2, 2021"
"Pick Me Up, Infinite Gacha",9.9,Ongoing,Manhwa,96,"December 28, 2022"
Solo Leveling,10,Completed,Manhwa,200 - Side Story 21 { THE END },"March 3, 2021"
Kill The Dragon,9.5,Ongoing,Manhwa,111,"April 28, 2022"
Legendary Youngest Son of the Marquis House,8,Dropped,Manhwa,92,"March 12, 2022"
Damn Reincarnation,9.9,Ongoing,Manhwa,81 {S2 END},"June 22, 2022"
Heavenly Sword’s Grand Saga,9.8,Ongoing,Manhwa,40 - S1 END,"June 30, 2022"
Life of a Magic Academy Mage,9.7,Ongoing,Manhwa,94,"November 30, 2022"
