title,rating,rating_count,status,view,genres
The Golden Age,2.9,5,Ongoing,3970,"['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Shounen']"
Baek XX,2.4,405,Ongoing,50111,"['Action', 'Drama', 'Manhwa', 'Seinen']"
Drug-Eating Genius Mage,2.4,155,Ongoing,60344,"['Fantasy', 'Manhwa', 'Shounen']"
The Right To Invoke,1.5,16,Ongoing,1923,"['Action', 'Comedy', 'Drama', 'Psychological', 'Sci-fi', 'Supernatural', 'Adventure']"
9 Banme No Musashi,3.5,1,Ongoing,1019,"['Action', 'Drama', 'Gender Bender', 'Romance', 'School Life', 'Shoujo', 'Slice of Life', 'Adventure']"
Isekai Minecraft,2.8,220,Ongoing,28054,"['Action', 'Ecchi', 'Manga', 'Isekai']"
The Strongest Snail Has A Mansion In The World Of Snails,2.7,31,Ongoing,3597,['Manhua']
The Fangs That Pierce the Heart,2.6,23,Ongoing,509,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Supernatural']"
Top 1%,1.6,5,Ongoing,11779,"['Action', 'Manhwa', 'School Life']"
"Saving 80,000 Gold Coins in the Different World for My Old Age",5,1,Ongoing,6038,"['Action', 'Comedy', 'Fantasy', 'Shoujo', 'Slice of Life', 'Adventure']"
Transmigrating Into the Cyber Game After Being on Top for Killing BOSS,2.2,6,Ongoing,437,"['Action', 'Drama', 'Manhua']"
Suspicious Mysteries,0,1,Ongoing,1011,['Manhua']
Super Income Treasure,1.9,8,Ongoing,926,"['Action', 'Manhua', 'Sci-fi']"
Heroes Tournament,2.5,4,Ongoing,1352,"['Action', 'Doujinshi', 'Manga', 'Martial Arts', 'Mystery']"
"Stop Bothering Me, Emperor!",4.3,3,Ongoing,3088,"['Comedy', 'Drama', 'Manhua', 'Romance', 'Shounen Ai']"
Cursor,2.2,6,Completed,3969,"['Action', 'Adult', 'Comedy', 'Doujinshi', 'Drama', 'Manhwa', 'Martial Arts', 'Psychological', 'Tragedy']"
Why I Quit Being the Demon King,2.5,652,Ongoing,21398,"['Action', 'Comedy', 'Fantasy', 'Manhwa', 'Adventure']"
The Fake Princess OP Bunny,5,1,Ongoing,590,"['Manhwa', 'Romance']"
Killer and Immortal Target,0.7,3,Ongoing,1344,"['Comedy', 'Supernatural']"
A good-natured craftsman's trip to another world,2.6,34,Ongoing,2420,"['Fantasy', 'Harem', 'Romance', 'Slice of Life', 'Adventure', 'Isekai']"
The Law Of Being Friends With A Male,1.7,3,Ongoing,34,"['Drama', 'Fantasy', 'Manhwa', 'Romance']"
Hitogata,5,1,Ongoing,350,['Horror']
The Elegant Life of the Reincarnated Aristocrat,2.4,33,Ongoing,1342,"['Drama', 'Fantasy', 'Historical', 'Romance']"
Otherworldly Magical Daoist Priest,3.2,9,Ongoing,15992,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Shounen']"
Wicked Trapper: Hunter of Heroes,2.8,37,Ongoing,8570,['Action']
The Kicked Out S-Rank Appraiser Creates the Strongest Guild,2.7,16,Ongoing,12655,"['Action', 'Fantasy', 'Romance', 'Adventure']"
My Mom is my Constellation,2.7,65,Ongoing,20352,"['Action', 'Fantasy', 'Manhwa', 'Shounen', 'Adventure']"
Night Fishing,0.2,2,Ongoing,2333,"['Drama', 'Manhwa', 'Psychological']"
Nina is plotting my death!,2.9,25,Ongoing,3506,"['Action', 'Comedy', 'Sci-fi']"
It All Starts With The Heavenly Fate System,2.8,124,Ongoing,16760,"['Action', 'Fantasy', 'Manhua', 'Martial Arts', 'Adventure']"
Lady to Queen,2.5,2,Ongoing,1006,"['Romance', 'Shoujo']"
Embrace My Shadow,2.7,15,Ongoing,10161,"['Romance', 'Shoujo']"
I The Descendant Of Ancestors,2.5,3,Ongoing,515,"['Action', 'Drama', 'Fantasy', 'Historical', 'Manhua', 'Martial Arts', 'Shounen']"
UQ Holder!,5,3,Ongoing,1559,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Mystery', 'School Life', 'Shounen', 'Supernatural', 'Tragedy', 'Adventure']"
Super Affection System,4.3,8,Ongoing,2038,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Manhua', 'Romance', 'Adventure', 'Isekai']"
I reincarnated and became the daughter of a dragon!?,2.3,14,Ongoing,7760,"['Fantasy', 'Slice of Life', 'Isekai']"
Being A Wicked Woman Is Comfortable And Pleasant,3.9,6,Ongoing,189,"['Drama', 'Fantasy', 'Manhwa', 'Romance']"
A single aristocrat enjoys a different world ~ The graceful life of a man who never gets married ~,2.5,233,Ongoing,23397,"['Comedy', 'Fantasy', 'Romance', 'Isekai']"
The Ride-On King,2.8,50,Ongoing,8141,"['Comedy', 'Cooking', 'Fantasy', 'Martial Arts', 'Shounen']"
Rease the Magic Eater,3.4,10,Ongoing,1622,"['Fantasy', 'Mystery']"
Circle Zero&#x27;s Otherworldly Hero Business (Reboot),2.3,28,Ongoing,4473,"['Drama', 'Ecchi', 'Fantasy', 'Manhwa']"
Tondemo Skill de Isekai Hourou Meshi,2.7,55,Ongoing,19457,"['Action', 'Comedy', 'Fantasy', 'Manga', 'Shounen']"
It’s Been A While Since the Original Novel was Completed,1.2,3,Ongoing,6633,"['Comedy', 'Manhwa', 'Romance', 'School Life']"
Vlad Dracula,2.2,3,Ongoing,777,"['Drama', 'Historical', 'Psychological']"
When the Count's Illegitimate Daughter Gets Married,2.2,123,Ongoing,30730,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Slice of Life']"
White Throne Of Bones,3,10,Ongoing,993,"['Action', 'Horror', 'Manhua']"
Chronicles Of Heavenly Embers,2,1,Ongoing,1074,"['Action', 'Drama', 'Fantasy', 'Martial Arts']"
21 century retrogression,2.5,619,Ongoing,18069,"['Action', 'Manhwa', 'Martial Arts', 'Mystery']"
Return of the Legend,2.4,343,Ongoing,92073,"['Manhwa', 'Action']"
Yoo Sung Woo,2.5,1,Ongoing,876,"['Action', 'Fantasy', 'Martial Arts', 'Adventure']"
"Here she is, the saint in Japan",1.8,10,Ongoing,1207,"['Fantasy', 'Slice of Life', 'Isekai']"
THIS GAME IS TOO REALISTIC,2.7,335,Ongoing,16256,"['Action', 'Fantasy']"
"Suginami, Public Servant and Eliminator - The People on Dungeon Duty",2.1,19,Ongoing,3206,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Slice of Life', 'Supernatural']"
Apex Gamer Returns,2.7,221,Ongoing,5453,"['Action', 'Fantasy', 'Manhua']"
"I'm a Wolf, but I Won't Harm You",3,13,Ongoing,5572,"['Fantasy', 'Manhwa', 'Romance']"
Mind-Reading Princess,2.6,11,Ongoing,2850,"['Manhua', 'Romance']"
"Until I, A Fallen Nobleman, Was Called The Great Sage With My Failure Skill “super Jack-of-all-trades”",2.2,10,Ongoing,8611,"['Fantasy', 'Romance', 'Isekai']"
"Win Over the Dragon Emperor This Time Around, Noble Girl!",2.6,12,Ongoing,4938,"['Action', 'Comedy', 'Fantasy']"
Hotel Metsäpeura e Youkoso,1.7,8,Ongoing,3551,"['Drama', 'Slice of Life']"
Villainous Demon Son-In-Law,2.7,43,Ongoing,8170,"['Action', 'Fantasy', 'Harem', 'Manhua']"
The Bride of Barbaroi,1.8,16,Ongoing,10893,"['Action', 'Comedy', 'Fantasy', 'Romance']"
Give the Harem to the Villainess,2.9,5,Ongoing,6112,"['Fantasy', 'Manhwa', 'Romance', 'Isekai']"
Tales of A Shinning Sword,2.6,737,Ongoing,63980,"['Action', 'Drama', 'Fantasy', 'Historical', 'Martial Arts', 'Shounen', 'Supernatural']"
A Strange World,3.7,9,Ongoing,1971,"['Action', 'Manhua', 'Mystery']"
Hundred Demon Spectrum,4,1,Ongoing,2417,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Supernatural']"
An Incompetent Woman Wants to Be a Villainess ~The Young Lady Who Married as a Substitute for Her Stepsister Didn't Notice the Duke's Doting~,2.3,23,Ongoing,2608,"['Comedy', 'Fantasy', 'Romance']"
The Strongest Body Refiner in History,1.9,9,Ongoing,24707,"['Action', 'Manhua', 'Martial Arts']"
I wouldn’t date a prince even if you asked! The banished villainess will start over with the power of magic~,0,1,Ongoing,4803,"['Fantasy', 'Romance']"
"Even though she is a weak Max daughter, she has taken a bet from a shrewd fiancée.",4,1,Ongoing,1312,"['Drama', 'Fantasy', 'Historical', 'Romance']"
Circumstances Of Switching Bodies,4.3,3,Ongoing,3601,"['Fantasy', 'Romance', 'Shoujo']"
Fighting Again For A Lifetime,2.5,32,Ongoing,18748,['Manhua']
Toudai Revengers,0,1,Ongoing,3981,"['Comedy', 'School Life']"
THE KILLER’S INTERVIEW,1.6,20,Ongoing,375,"['Drama', 'Mystery', 'Seinen']"
Supreme Magic Weapon,2.4,10,Ongoing,2500,"['Action', 'Fantasy', 'Manhua', 'Sci-fi']"
"The Sole Monster Tamer in the World, ~I was Mistaken as the Demon King When I Changed My Job",2.4,52,Ongoing,18765,"['Drama', 'Fantasy', 'Manga', 'Shounen']"
The Dauntless Celestial Emperor,1.6,4,Ongoing,2296,['Fantasy']
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",3,14,Ongoing,10709,"['Action', 'Comedy', 'Fantasy', 'Manga']"
Secret Reptiles,3.8,2,Ongoing,2316,"['Mature', 'Romance', 'Seinen', 'Slice of Life']"
Kara no Kioku,2,37,Ongoing,7095,"['School Life', 'Sci-fi', 'Slice of Life']"
War Tripod,4.1,4,Ongoing,1805,"['Action', 'Fantasy', 'Manhua', 'Martial Arts']"
Saikyou de Saisoku no Mugen Level Up,2.5,146,Ongoing,10686,"['Action', 'Comedy', 'Fantasy', 'Adventure']"
Return of the Legendary Spear Knight,2.5,587,Ongoing,169224,['Manhwa']
A Rare Marriage: How to Grill Our Love,5,1,Ongoing,3291,"['Romance', 'Slice of Life']"
Clearing an Isekai with the Zero-Believers Goddess,5,1,Ongoing,7736,"['Fantasy', 'Romance']"
Jishou! Heibon Mazoku no Eiyuu Life: B-kyuu Mazoku nano ni Cheat Dungeon wo Tsukutteshimatta Kekka,2.3,18,Ongoing,7930,"['Action', 'Comedy', 'Fantasy', 'Romance', 'School Life', 'Shounen']"
Office Worker Who Sees Fate,2.7,101,Ongoing,4472,"['Action', 'Manhwa', 'Mystery', 'Romance', 'Shounen']"
"I’m Haunted by a Ghost, but it Keeps Getting Cuter!",0.7,3,Ongoing,8346,['Horror']
The monster who became cuter and hotter just as much as she buzzed.,5,1,Ongoing,2503,"['Comedy', 'Romance']"
"disciples, please spare your master",2.7,56,Ongoing,1618,"['Comedy', 'Harem', 'Manhua', 'Martial Arts', 'Adventure']"
Invincible Battle Power System,1.5,2,Ongoing,1612,"['Action', 'Fantasy', 'Shounen']"
Love After World Domination,2.4,7,Ongoing,7015,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural']"
